ID,Platform,Title,Publisher,Developer,Year,Region,Edition,Language,Copies,Genres,Description,Metacritic Score,Price Estimate,Cover URL,Source Images,Data Source
ds_brain_age_01,Nintendo DS,Brain Age: Train Your Brain in Minutes a Day,Nintendo,N/A,2012,,Standard,English,1,Action,"With all of the technological distractions of modern life, information
overload and information addiction can make it difficult to stay
focused. Brain Age: Concentration Training uses newly designed e...",N/A,N/A,https://media.rawg.io/media/screenshots/fd4/fd4441648c321652a80e61ae0595d4d1.jpg,20251009_011445.jpg,RAWG API
ds_diddy_kong_racing_01,Nintendo DS,Diddy Kong Racing DS,Nintendo,"Nintendo, Rare",1995,,Standard,English,1,Platformer,Donkey Kong Country 2: Diddy's Kong Quest is an adventure platform video game developed by Rare and published by Nintendo for the Super Nintendo Entertainment System (SNES). It was first released on 2...,N/A,N/A,https://media.rawg.io/media/screenshots/1b2/1b2b82bd26350d64c3d057c0206010ae.jpg,20251009_011445.jpg,RAWG API
ds_big_brain_academy_01,Nintendo DS,Big Brain Academy,Nintendo,N/A,2012,,Standard,English,1,Action,"With all of the technological distractions of modern life, information
overload and information addiction can make it difficult to stay
focused. Brain Age: Concentration Training uses newly designed e...",N/A,N/A,https://media.rawg.io/media/screenshots/fd4/fd4441648c321652a80e61ae0595d4d1.jpg,20251009_011445.jpg,RAWG API
ds_nine_hours_nine_persons_nine_doors_01,Nintendo DS,"Nine Hours, Nine Persons, Nine Doors",Moving Player,Moving Player,2014,,Standard,English,1,,"A legend handed down through the ages says that the Cocoro Islands were
created by the god Perfect. He breathed his spirit into them and,
through his will alone, each one received a founding entity. T...",N/A,N/A,https://media.rawg.io/media/screenshots/06c/06c8ab9fba2a41c4cb0d4df344f9e97b.jpg,20251009_011445.jpg,RAWG API
ds_kingdom_hearts_358_2_days_01,Nintendo DS,Kingdom Hearts 358/2 Days,Square Enix,N/A,2012,,Standard,English,1,"Action, Adventure, RPG","They will face new enemies and make new friends in worlds they’ve never
set foot in. If they can successfully unlock seven Sleeping Keyholes and
return to their world, they will retrieve a great power...",N/A,N/A,https://media.rawg.io/media/screenshots/2ea/2ea2447a772162504ba82c50c2d1ed0a.jpg,20251009_011445.jpg,RAWG API
ds_dragon_quest_ix_sentinels_of_the_starry_skies_01,Nintendo DS,Dragon Quest IX: Sentinels of the Starry Skies,Nintendo,"Square Enix, ArtePiazza",2016,,Standard,English,1,RPG,"Travel to the past to save the present as you restore forgotten lands
and battle an unknown evil in this classic DRAGON QUEST adventure
completely rebuilt from the ground up for the Nintendo 3DS syste...",81,N/A,https://media.rawg.io/media/screenshots/667/66774382eb3120b324a4132f0c8460c5.jpg,20251009_011445.jpg,RAWG API
ds_final_fantasy_3_01,Nintendo DS,Final Fantasy III,"Nintendo, Square",Square,1987,,Standard,English,1,RPG,"Final Fantasy is a fantasy role-playing video game developed and published by Square in 1987. It is the first game in Square's Final Fantasy series, created by Hironobu Sakaguchi. Originally released ...",N/A,N/A,https://media.rawg.io/media/screenshots/656/6566c32aebb7b23af0573091132c2f2c.jpg,20251009_011445.jpg,RAWG API
ds_final_fantasy_4_01,Nintendo DS,Final Fantasy IV,Square Enix,"Square Enix, DotEmu",2008,,Standard,English,1,"Adventure, RPG","Now with a full 3-D remake, FINAL FANTASY IV: THE AFTER YEARS can now be played as never before on PC. Take part in the epic sequel that unfolds nearly two decades after the events of FINAL FANTASY IV...",87,N/A,https://media.rawg.io/media/screenshots/525/525b5da62342fa726bfe2820e8f93c09.jpg,20251009_011445.jpg,RAWG API
3ds_pokemon_heartgold_01,Nintendo DS,Pokemon HeartGold Version,"Nintendo, The Pokemon Company",Game Freak,1999,,Standard,English,1,RPG,"When initially launched on the Game Boy Color system, the Pokémon Silver Version game continued to expand the Pokémon universe, adding 100 Pokémon, held items, Pokémon eggs, and real-time events thank...",N/A,N/A,https://media.rawg.io/media/screenshots/6fe/6fee3969b73bfccd935517c0c15826d8.jpg,20251009_011448.jpg,RAWG API
3ds_metroid_samus_returns_01,Nintendo 3DS,Metroid: Samus Returns,Nintendo,"Nintendo, Mercury Steam Entertainment",2017,,Special Edition,English,1,"Action, Platformer",Brave the hostile terrain of an alien planet teeming with vicious life forms as legendary bounty hunter Samus Aran. Her mission? Terminate the Metroid menace in this masterful reimagining of her 1991 ...,88,N/A,https://media.rawg.io/media/games/c8a/c8a659feff775789bf3b23790229b204.jpeg,20251009_011513.jpg,RAWG API
ds_brain_age_2_01,Nintendo DS,Brain Age 2: More Training in Minutes a Day,Nintendo,N/A,2012,,Standard,English,1,Action,"With all of the technological distractions of modern life, information
overload and information addiction can make it difficult to stay
focused. Brain Age: Concentration Training uses newly designed e...",N/A,N/A,https://media.rawg.io/media/screenshots/fd4/fd4441648c321652a80e61ae0595d4d1.jpg,20251009_011454.jpg,RAWG API
ds_pokemon_white_version_2_01,Nintendo DS,Pokemon White Version 2,"Nintendo, The Pokemon Company",Game Freak,1999,,Standard,English,1,RPG,"When initially launched on the Game Boy Color system, the Pokémon Silver Version game continued to expand the Pokémon universe, adding 100 Pokémon, held items, Pokémon eggs, and real-time events thank...",N/A,N/A,https://media.rawg.io/media/screenshots/6fe/6fee3969b73bfccd935517c0c15826d8.jpg,20251009_011525.jpg,RAWG API
ds_pokemon_super_mystery_dungeon_01,Nintendo DS,Pokemon Super Mystery Dungeon,"Nintendo, The Pokémon Company",Spike Chunsoft,2015,,Standard,English,1,"RPG, Roguelike, Dungeon Crawler","Pokémon Super Mystery Dungeon - Play as a Pokémon in procedurally generated dungeons. Recruit partners, explore mystery dungeons, and uncover the story behind legendary Pokémon petrification.",69,$25-35 USD used,"https://assets.nintendo.com/image/upload/f_auto/q_auto/dpr_1.5/c_scale,w_400/ncom/en_US/games/3ds/pokemon-super-mystery-dungeon",20251009_011525.jpg,Web Search
ds_pokemon_moon_01,Nintendo DS,Pokemon Moon,"Nintendo, The Pokémon Company",Game Freak,2016,,Standard,English,1,"RPG, Adventure, Turn-Based","Pokémon Moon - Seventh generation Pokémon in the Alola region. Experience island trial challenges instead of gyms, discover new Alola forms, and stop Team Skull. 16.33 million copies sold.",87,$20-30 USD used,"https://assets.nintendo.com/image/upload/f_auto/q_auto/dpr_1.5/c_scale,w_400/ncom/en_US/games/3ds/pokemon-moon",20251009_011525.jpg,Web Search
ds_pokemon_alpha_sapphire_01,Nintendo DS,Pokemon Alpha Sapphire,"Nintendo, The Pokémon Company",Game Freak,2014,,Standard,English,1,"RPG, Adventure, Turn-Based","Pokémon Alpha Sapphire - Enhanced remake of the 2002 GBA title. Return to Hoenn with 3D graphics, Mega Evolution, Primal Reversion, and expanded post-game content.",82,$25-40 USD used,"https://assets.nintendo.com/image/upload/f_auto/q_auto/dpr_1.5/c_scale,w_400/ncom/en_US/games/3ds/pokemon-alpha-sapphire",20251009_011525.jpg,Web Search
ds_pokemon_y_01,Nintendo DS,Pokemon Y,"Nintendo, The Pokémon Company",Game Freak,2013,,Standard,English,1,"RPG, Adventure, Turn-Based","Pokémon Y - Sixth generation in Kalos region, inspired by France. Introduces Mega Evolution, fully 3D graphics, Fairy type, and simultaneous worldwide release.",88,$20-35 USD used,"https://assets.nintendo.com/image/upload/f_auto/q_auto/dpr_1.5/c_scale,w_400/ncom/en_US/games/3ds/pokemon-y",20251009_011525.jpg,Web Search
ds_kirby_planet_robobot_01,Nintendo DS,Kirby: Planet Robobot,Nintendo,HAL Laboratory,2016,,Standard,English,1,Platformer,"Harness the power of a mysterious mech to stop ruthless invaders from
mechanizing Kirby's home world. Smash through tough obstacles, lift
heavy objects with ease, and scan enemies to shape-shift into ...",81,N/A,https://media.rawg.io/media/screenshots/5b9/5b9d36a817c8537e6b2722122b7878aa.jpg,20251009_011525.jpg,RAWG API
ds_nintendo_3ds_xl_01,Nintendo DS,Nintendo 3DS XL (Handheld Console),Nintendo,Nintendo,2012,,Standard,English,1,"Hardware, Handheld Console","Nintendo 3DS XL - Handheld game console with larger screens (90% bigger than original 3DS), stereoscopic 3D without glasses, and backward compatibility with Nintendo DS games.",N/A,$80-150 USD used console,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Nintendo-3DS-XL-angled.jpg/1200px-Nintendo-3DS-XL-angled.jpg,20251009_011525.jpg,Web Search
ds_legend_of_zelda_phantom_hourglass_01,Nintendo DS,The Legend of Zelda: Phantom Hourglass,Nintendo,"Capcom, Nintendo",2002,,Standard,English,1,"Action, Adventure",,N/A,N/A,https://media.rawg.io/media/screenshots/063/063e24eb22d69c8d4febc5b938a50b57.jpg,20251009_011546.jpg,RAWG API
ds_pokemon_diamond_01,Nintendo DS,Pokemon Diamond Version,"Nintendo, The Pokemon Company",Game Freak,1999,,Standard,English,1,RPG,"When initially launched on the Game Boy Color system, the Pokémon Silver Version game continued to expand the Pokémon universe, adding 100 Pokémon, held items, Pokémon eggs, and real-time events thank...",N/A,N/A,https://media.rawg.io/media/screenshots/6fe/6fee3969b73bfccd935517c0c15826d8.jpg,20251009_011549.jpg,RAWG API
ds_pokemon_black_01,Nintendo DS,Pokemon Black Version,"Nintendo, The Pokemon Company",Game Freak,1999,,Standard,English,1,RPG,"When initially launched on the Game Boy Color system, the Pokémon Silver Version game continued to expand the Pokémon universe, adding 100 Pokémon, held items, Pokémon eggs, and real-time events thank...",N/A,N/A,https://media.rawg.io/media/screenshots/6fe/6fee3969b73bfccd935517c0c15826d8.jpg,20251009_011549.jpg,RAWG API
ds_metroid_prime_hunters_01,Nintendo DS,Metroid Prime Hunters,Nintendo,Nintendo,2016,,Standard,English,1,,"The galaxy is not at peace. The war between the Galactic Federation and
the Space Pirates is far from over. Enlist with the Federation Force to
join a four-player local or online squad in this co-op s...",N/A,N/A,https://media.rawg.io/media/screenshots/95d/95df37a429585b4b33a716482776851c.jpg,20251009_011549.jpg,RAWG API
ds_harvest_moon_ds_island_of_happiness_01,Nintendo DS,Harvest Moon DS: Island of Happiness,"Natsume, Pack-In-Video","Victor Interactive Software, Pack-In-Video",1996,,Standard,English,1,"RPG, Simulation","Harvest Moon (牧場物語, Bokujō Monogatari, lit. ""Farm Story"") is a farm simulation role-playing game developed by Amccus for the Super Nintendo Entertainment System. The game first released in Japan in 19...",N/A,N/A,https://media.rawg.io/media/screenshots/95f/95f28b625e44f037ff8d2d33be4feb17.jpg,20251009_011549.jpg,RAWG API
ds_mario_kart_ds_01,Nintendo DS,Mario Kart DS,Nintendo,Nintendo,1993,,Standard,English,1,Racing,"Select one of eight characters from the Mario™ series—offering a variety
of driving styles—and take on three championship cups in three different
kart classes. Win enough, and you'll unlock a fourth c...",N/A,N/A,https://media.rawg.io/media/games/4da/4da63441cb94d7adb4d954871b65db30.jpg,20251009_011549.jpg,RAWG API
gb_pokemon_blue_01,Game Boy,Pokemon Blue Version,"Nintendo, Game Freak",Game Freak,1996,NTSC-J,Standard,Japanese,1,"Action, Adventure, RPG","With classic graphics and music, Pokémon Red and Pokémon
Blue Version stay true to the originals released nearly 20 years
ago. You'll feel like you're playing them just as they were, but now you
can t...",N/A,N/A,https://media.rawg.io/media/games/356/3566c06f8e5d3b45f4163dec1d9968a2.jpg,20251009_011549.jpg,RAWG API
gb_pokemon_red_01,Game Boy,Pokemon Red Version,"Nintendo, Game Freak",Game Freak,1996,NTSC-J,Standard,Japanese,1,"Action, Adventure, RPG","With classic graphics and music, Pokémon Red and Pokémon
Blue Version stay true to the originals released nearly 20 years
ago. You'll feel like you're playing them just as they were, but now you
can t...",N/A,N/A,https://media.rawg.io/media/games/356/3566c06f8e5d3b45f4163dec1d9968a2.jpg,20251009_011555.jpg,RAWG API
n64_super_mario_64_01,Nintendo 64,Super Mario 64,Nintendo,Nintendo,1996,NTSC-J,Standard,Japanese,1,Platformer,"Mario is super in a whole new way! Combining the finest 3-D graphics ever developed for a video game and an explosive sound track, Super Mario 64 becomes a new standard for video games. It's packed wi...",94,N/A,https://media.rawg.io/media/games/1d5/1d565b99cad46c44b534d9803e27bd49.jpg,20251009_011630.jpg,RAWG API
n64_pokemon_stadium_gold_silver_01,Nintendo 64,Pokemon Stadium Gold & Silver,Nintendo,Nintendo EAD,2000,NTSC-J,Standard,Japanese,1,"Strategy, Turn-Based, Battle","Pokémon Stadium 2 (Pokémon Stadium Gold & Silver in Japan) - Battle with 251 Pokémon from first and second generations. Features Gym Leader Castle, Stadium battles, and mini-games.",N/A,$40-80 USD used (Japan),https://m.media-amazon.com/images/I/51CGXVQY9CL._AC_.jpg,20251009_011630.jpg,Web Search
n64_startwins_01,Nintendo 64,Star Twins,"Nintendo (Japan), Rare",Rare,1999,NTSC-J,Standard,Japanese,1,"Action, Adventure, Third-Person Shooter","Star Twins (Jet Force Gemini in West) - Third-person shooter where Jet Force team battles insectoid aliens. Features three playable characters, exploration gameplay, and collect-a-thon elements.",N/A,$30-60 USD used (Japan),https://m.media-amazon.com/images/I/51HHQWY4XKL._AC_.jpg,20251009_011630.jpg,Web Search
nes_nba_jam_te_01,NES,NBA Jam TE,Acclaim Entertainment,Iguana Entertainment,1995,,Standard,English,1,"Sports, Basketball, Arcade","NBA Jam Tournament Edition - Updated version of the arcade basketball phenomenon. Features over-the-top gameplay, iconic 'He's on fire!' announcements, and 2-on-2 arcade action.",N/A,$15-25 USD used,https://upload.wikimedia.org/wikipedia/en/3/35/NBA_Jam_Tournament_Edition_Coverart.png,20251009_011641.jpg,Web Search
nes_pilotwings_01,SNES,Pilotwings,Nintendo,Nintendo EAD,1991,,Standard,English,1,"Simulation, Flight, Action","Pilotwings - SNES launch title showcasing Mode 7 graphics. Flight simulation with light plane, skydiving, rocketbelt, and hang gliding across various missions and training exercises.",N/A,$15-30 USD used,"https://assets.nintendo.com/image/upload/f_auto/q_auto/dpr_1.5/c_scale,w_400/ncom/en_US/games/snes/pilotwings",20251009_011641.jpg,Web Search
nes_the_lion_king_01,SNES,The Lion King,Virgin Interactive,Westwood Studios,1994,,Standard,English,1,"Platform, Action, Adventure",The Lion King - Platform game based on Disney's animated film. Follow Simba from cub to king through challenging levels with beautiful animation and memorable music.,N/A,$15-25 USD used,https://upload.wikimedia.org/wikipedia/en/7/79/The_Lion_King_Coverart.png,20251009_011641.jpg,Web Search
nes_super_star_wars_01,SNES,Super Star Wars,"JVC, LucasArts","Sculptured Software, LucasArts",1992,,Standard,English,1,"Platform, Run and Gun, Action","Super Star Wars - Run and gun game based on Star Wars: A New Hope. Features multiple playable characters, vehicle levels, and challenging platforming action on Tatooine and beyond.",N/A,$15-30 USD used,https://upload.wikimedia.org/wikipedia/en/8/82/Super_Star_Wars_box.jpg,20251009_011641.jpg,Web Search
nes_super_mario_rpg_01,SNES,Super Mario RPG,Nintendo,Square,1996,,Standard,English,1,RPG,"A mysterious enemy named Smithy has appeared, forcing Mario and Bowser
to fight as allies. Journey across a wide variety of locations and
tackle a mixture of obstacles that will require both timing an...",N/A,N/A,https://media.rawg.io/media/games/384/3848abcd66c93552e46647c3db985f30.jpg,20251009_011641.jpg,RAWG API
nes_donkey_kong_country_01,SNES,Donkey Kong Country,Nintendo,"Nintendo, Rare",1994,,Standard,English,1,Platformer,"After a dark and stormy night, Donkey Kong finds all of his bananas 
      stolen by K. Rool and his reptilian crew of Kremlings! Armed with 
      chest-pounding muscle, mighty barrel rolls, and awes...",N/A,N/A,https://media.rawg.io/media/screenshots/6df/6df71f3ff0f6d6bbac306cb9adf935ee.jpg,20251009_011641.jpg,RAWG API
n64_armorines_01,Nintendo 64,Armorines,Acclaim Entertainment,Acclaim Studios London,1999,,Standard,English,1,"First-Person Shooter, Action, Sci-Fi",Armorines: Project S.W.A.R.M. - First-person shooter based on Valiant Comics. Battle alien insects using Turok 2 engine. Supports N64 Expansion Pak for high-resolution graphics.,N/A,$10-20 USD used,https://upload.wikimedia.org/wikipedia/en/5/54/Armorines_Project_SWARM_Coverart.png,20251009_011655.jpg,Web Search
n64_killer_instinct_gold_01,Nintendo 64,Killer Instinct Gold,Nintendo,Rare,1996,,Standard,English,1,"Fighting, Action, Arcade","Killer Instinct Gold - Port of arcade's Killer Instinct 2. Features combo-heavy fighting system, training mode, and iconic characters like Jago, Orchid, and Fulgore.",N/A,$20-35 USD used,https://upload.wikimedia.org/wikipedia/en/f/fe/Killer_Instinct_Gold_box.jpg,20251009_011655.jpg,Web Search
n64_turok_01,Nintendo 64,Turok,Acclaim Entertainment,Iguana Entertainment,1997,,Standard,English,1,"First-Person Shooter, Action, Adventure","Turok: Dinosaur Hunter - Groundbreaking FPS combining dinosaurs, advanced weaponry, and exploration. Features the iconic Cerebral Bore weapon and vast interconnected levels.",N/A,$15-30 USD used,https://upload.wikimedia.org/wikipedia/en/7/72/Turok_Dinosaur_Hunter_Coverart.png,20251009_011655.jpg,Web Search
n64_the_legend_of_zelda_majoras_mask_01,Nintendo 64,The Legend of Zelda: Majora's Mask,Nintendo,Nintendo,2000,,Standard,English,1,"Action, Adventure","Link must save the world! This time, he finds himself trapped in
Termina, an alternate version of Hyrule that is doomed to destruction in
just three short days. Link must race to recover the Ocarina o...",95,N/A,https://media.rawg.io/media/games/b3c/b3c209cd49aae8a469a59b79b54dc599.jpg,20251009_011655.jpg,RAWG API
